Alfred Gomis,GK,25
Amir Arli,AM C,16
Antoine Tchang-Tchong,D L,25
Arnaud Rollin,ST,18
Arthur Vitelli,D R,19
Axel Mary,D C,17
Basile Marc,DM,19
Bogdan Racovitan,D C,19
Bruno Ecuélé Manga,D RC,30
Bryan Soumaré,AM RC,20
Charles Simon,D C,16
Charly Costes,AM RL,17
Cheikhna Senghor,AM R,16
Corentin Faussot,DM,21
Didier Ndong,M RC,25
Dylan Tchamajieu,D L,18
Erwan Belhadji,DM,18
Ewan Hatfout,GK,19
Falaye Soumaré,AM C,18
Florent Balmont,DM,39
Fouad Chafik,D/WB/M R,32
Franck Engonga,D C,17
Frédéric Sammaritano,AM RLC,33
Glody Ngonda,D/WB L,24
Guechane Kinzunza,M C,16
Hamza Mendyl,D/WB L,21
Jacques-Julien Siwe,ST,17
Jhonder Cádiz,AM RL* ST,23
Jordan Marié,DM,27
Julio Tavares,ST,30
Kevin Nzungu,AM C,16
Lenny Schmitt,M C,16
Lévi Ntumba,GK,18
Maël Sedagondji,D C,19
Mama Baldé,D R* AM RL* ST,23
Mamadou Sissoko,D L,17
Massinissa Djouadi,AM C,16
Mickaël Alphonse,D/WB R,29
Mounir Chouiar,AM LC,20
Naofël Hdoubane,ST,16
Nayef Aguerd,D C,23
Paul Bianconi,D C,17
Rayan M'Foihaya,ST,16
Raymeric Sonny,DM,17
Reda Benchaa,D C,17
Romain Amalfitano,M C,29
Rúnar Alex Rúnarsson,GK,24
Sadou Diallo,D C* DM,17
Sékou Yansane,ST,15
Senou Coulibaly,D C,21
Stanley Kouamé,GK,17
Stephy Mavididi,ST,21
Théo Barbet,D LC,18
Théo Godard,AM C,18
Thomas Roche,GK,17
Wesley Lautoa,D C* DM,31
Wilitty Younoussa,M C,17
Yassine Benzia,AM C,24
Younes El Himdi,AM C,17
Agim Zeka,AM RL* ST,20
Aguibou Camara,AM C,18
Ahmed Majid,AM C,17
Andy Pembélé,AM R,18
Anthony Herbin,GK,20
Anzo Lesage,D C* DM,18
Arton Zekaj,DM,19
Baptiste Rolland,D C,16
Benjamin André,DM,28
Boubakary Soumaré,DM,20
Carmel Mabanza,D C* DM,15
Charles Andreas Brym,AM L,20
Cheickh Niasse,DM,19
Darly N'landu,M C,18
Domagoj Bradaric,D/WB L,19
Eddy Ouattara,AM L* ST,18
Edouard Dejonge,GK,18
Edson Ceita,AM RL,18
El Hadji Gueye,D C,19
Enzo Bardeli,AM C,18
Eric Bocat,D L,19
Exaucé Mpembele Boula,AM LC* F C,17
Ferhat Çogalan,AM RC,17
Gabriel,D C,21
Ibrahim Karamoko,AM RL* ST,17
Ibrahim Mandefu,ST,18
Idriss Fares,ST,17
Imad Faraj,AM RLC,20
Ismaël Kanda,D C* DM,18
Ismaïl Bouleghcha,D RC,16
Jaly Mouaddib,AM C,18
Jean Onana,DM,19
Jean-Pierre Longonda,DM,17
Jeoffrey Bultel,D C* DM,19
Jérémy Pied,D/WB/M R,30
Joël Ngoya,DM,17
Jonathan Bamba,AM RL* ST,23
Jonathan Ikoné,AM RLC* F C,21
José Fonte,D C,35
Léo Jardim,GK,24
Loïc Rémy,AM L* ST,32
Lucas Chevalier,GK,17
Lucas Lavallée,GK,16
Luiz Araújo,AM RL,23
Maxime Pau,AM C,19
Maxime Wackers,D C* DM,21
Mehdi Chafii,DM,16
Mike Maignan,GK,23
