name,age,season,mv,potential,transfer_no
leonardo-balerdi,19,18,2250000,80.86,2
leonardo-balerdi,18,17,2250000,80.86,1
lukasz-piszczek,25,10,1800000,80.86,4
lukasz-piszczek,22,7,2250000,80.86,3
lukasz-piszczek,19,4,1170000,80.86,2
lukasz-piszczek,16,1,1170000,80.86,1
mahmoud-dahoud,17,13,13500000,80.86,3
mahmoud-dahoud,15,11,13500000,80.86,2
mahmoud-dahoud,14,10,13500000,80.86,1
manuel-akanji,20,15,4500000,80.86,3
manuel-akanji,19,14,225000,80.86,2
manuel-akanji,18,13,225000,80.86,1
immanuel-pherai,19,20,720000,80.86,5
immanuel-pherai,17,18,720000,80.86,4
immanuel-pherai,16,17,720000,80.86,3
immanuel-pherai,15,16,720000,80.86,2
immanuel-pherai,12,13,720000,80.86,1
marcel-schmelzer,19,7,45000,80.86,4
marcel-schmelzer,17,5,45000,80.86,3
marcel-schmelzer,15,3,45000,80.86,2
marcel-schmelzer,14,2,45000,80.86,1
marco-reus,20,9,18000000,80.86,6
marco-reus,19,8,900000,80.86,5
marco-reus,17,6,45000,80.86,4
marco-reus,16,5,45000,80.86,3
marco-reus,15,4,45000,80.86,2
marco-reus,6,95,45000,80.86,1
mario-gotze,24,16,9450000,80.86,7
mario-gotze,21,13,31500000,80.86,6
mario-gotze,18,10,40500000,80.86,5
mario-gotze,16,8,900000,80.86,4
mario-gotze,15,7,900000,80.86,3
mario-gotze,9,1,900000,80.86,2
mario-gotze,6,98,900000,80.86,1
marwin-hitz,26,13,3600000,80.86,5
marwin-hitz,21,8,405000,80.86,4
marwin-hitz,21,7,45000,80.86,3
marwin-hitz,20,7,45000,80.86,2
marwin-hitz,18,5,45000,80.86,1
mateu-morey,17,17,270000,80.86,2
mateu-morey,15,15,270000,80.86,1
mats-hummels,27,16,31500000,80.86,7
mats-hummels,20,9,34200000,80.86,6
mats-hummels,19,8,3600000,80.86,5
mats-hummels,18,7,225000,80.86,4
mats-hummels,17,6,135000,80.86,3
mats-hummels,16,5,45000,80.86,2
mats-hummels,14,3,45000,80.86,1
nico-schulz,24,17,22500000,80.86,6
nico-schulz,22,15,1800000,80.86,5
nico-schulz,17,10,3150000,80.86,4
nico-schulz,16,9,3150000,80.86,3
nico-schulz,15,8,3150000,80.86,2
nico-schulz,7,0,3150000,80.86,1
raphael-guerreiro,19,13,8100000,80.86,3
raphael-guerreiro,18,12,1350000,80.86,2
raphael-guerreiro,16,10,1350000,80.86,1
roman-burki,23,14,5400000,80.86,9
roman-burki,22,13,2250000,80.86,8
roman-burki,20,11,1580000,80.86,7
roman-burki,19,10,225000,80.86,6
roman-burki,19,9,157500,80.86,5
roman-burki,18,9,90000,80.86,4
roman-burki,17,8,45000,80.86,3
roman-burki,16,7,45000,80.86,2
roman-burki,14,5,45000,80.86,1
thomas-delaney,26,17,10800000,80.86,3
thomas-delaney,18,9,3150000,80.86,2
thomas-delaney,16,7,90000,80.86,1
thorgan-hazard,22,15,34200000,80.86,6
thorgan-hazard,21,14,9000000,80.86,5
thorgan-hazard,19,12,9000000,80.86,4
thorgan-hazard,18,11,450000,80.86,3
thorgan-hazard,17,10,450000,80.86,2
thorgan-hazard,14,7,450000,80.86,1
alassane-plea,21,14,16200000,80.86,3
