,name,age,date,mv
292,fabian-ruth,19,20,22500000
293,fabian-ruth,17,18,22500000
294,fabian-ruth,16,17,22500000
295,fabian-ruth,14,15,22500000
296,florian-wirtz,17,20,22500000
297,florian-wirtz,17,20,22500000
298,florian-wirtz,15,18,22500000
299,florian-wirtz,7,10,22500000
300,jonathan-tah,19,15,5400000
301,jonathan-tah,19,15,3600000
302,jonathan-tah,18,14,5850000
303,jonathan-tah,17,13,5850000
304,jonathan-tah,16,12,5850000
305,jonathan-tah,15,11,5850000
306,jonathan-tah,13,9,5850000
307,jonathan-tah,13,9,5850000
308,julian-baumgartlinger,28,16,5400000
309,julian-baumgartlinger,23,11,2030000
310,julian-baumgartlinger,21,9,315000
311,julian-baumgartlinger,19,7,315000
312,julian-baumgartlinger,17,5,315000
313,julian-baumgartlinger,15,3,315000
314,julian-baumgartlinger,13,1,315000
315,kai-havertz,21,20,72900000
316,kai-havertz,17,16,90000
317,kai-havertz,15,14,90000
318,kai-havertz,11,10,90000
319,kai-havertz,10,9,90000
320,karim-bellarabi,24,14,2250000
321,karim-bellarabi,23,13,2250000
322,karim-bellarabi,21,11,900000
323,karim-bellarabi,20,10,45000
324,karim-bellarabi,19,9,45000
325,karim-bellarabi,18,8,45000
326,karim-bellarabi,17,7,45000
327,karim-bellarabi,15,5,45000
328,karim-bellarabi,14,4,45000
329,karim-bellarabi,8,98,45000
330,kerem-demirbay,26,19,28800000
331,kerem-demirbay,23,16,1170000
332,kerem-demirbay,23,16,1170000
333,kerem-demirbay,22,15,1170000
334,kerem-demirbay,22,15,900000
335,kerem-demirbay,21,14,315000
336,kerem-demirbay,20,13,315000
337,kerem-demirbay,19,12,315000
338,kerem-demirbay,18,11,315000
339,kerem-demirbay,17,10,315000
340,kerem-demirbay,15,8,315000
341,kerem-demirbay,14,7,315000
342,kevin-bukusu,19,20,315000
343,kevin-bukusu,17,18,315000
344,kevin-bukusu,15,16,315000
345,kevin-volland,28,20,25200000
346,kevin-volland,24,16,15300000
347,kevin-volland,20,12,3150000
348,kevin-volland,19,11,315000
349,kevin-volland,19,11,315000
350,kevin-volland,18,10,315000
351,kevin-volland,17,9,315000
352,kevin-volland,15,7,315000
353,kevin-volland,14,6,315000
354,kevin-volland,13,5,315000
355,lars-bender,20,9,1530000
356,lars-bender,17,6,45000
357,lars-bender,15,4,45000
358,lars-bender,13,2,45000
359,lars-bender,10,99,45000
360,leon-bailey,20,17,11250000
361,leon-bailey,18,15,11250000
362,leon-bailey,16,13,11250000
363,leon-bailey,14,11,11250000
364,lucas-alario,25,17,10800000
365,lucas-alario,23,15,45000
366,lucas-alario,19,11,10800000
367,lukas-hradecky,28,18,9000000
368,lukas-hradecky,25,15,1130000
369,lukas-hradecky,23,13,720000
370,lukas-hradecky,19,9,45000
371,lukas-hradecky,19,8,45000
372,lukas-hradecky,18,8,45000
373,lukas-hradecky,18,8,45000
374,marc-lamti,19,20,180000
